name_as_published,n_sources,sources,occurrences,district_id,label_type,normalised_key,display_name
Nabarangapur,1,price_stats_2020_pdf,210,OD23,district,NABARANGAPUR,Nabarangpur
Nabarangpur,6,OES_2026:Table 3.13; OES_2026:Table 3.2; OES_2026:Table 3.20; OES_2026:Table 3.6; OES_2026:Table 6.2; district_at_a_glance_2026,6,OD23,district,NABARANGPUR,Nabarangpur
Nabrangpur,2,OES_2026:Table 3.4; OES_2026:Table 5. 8,6,OD23,district,NABRANGPUR,Nabarangpur
Nawarangpur,6,OES_2026:Table 6.7; OES_2026:Table 9.5; earas_2023_24:distwise_minor_crop_AYP_2023-24; earas_report_2022_23:district_tables; earas_report_2023_24:district_tables; earas_report_2024_25:tables_5.x,228,OD23,district,NAWARANGPUR,Nabarangpur
Nawrangpur,4,earas_2023_24:dist_paddy_AYP_2023-24; earas_report_2022_23:district_tables; earas_report_2023_24:district_tables; earas_report_2024_25:tables_5.x,28,OD23,district,NAWRANGPUR,Nabarangpur
Nayagada,6,OES_2026:Table 5. 8; earas_2023_24:dist_paddy_AYP_2023-24; earas_2023_24:distwise_minor_crop_AYP_2023-24; earas_report_2022_23:district_tables; earas_report_2023_24:district_tables; earas_report_2024_25:tables_5.x,238,OD24,district,NAYAGADA,Nayagarh
Nayagarh,16,OES_2026:Table 3.13; OES_2026:Table 3.2; OES_2026:Table 3.20; OES_2026:Table 3.4; OES_2026:Table 3.6; OES_2026:Table 6.2; OES_2026:Table 6.7; OES_2026:Table 9.5; district_at_a_glance_2026; earas_2022_23:blockwise_paddy_AYP_2022-23; earas_2023_24:blockwise_LUS_2023_24; earas_2023_24:blockwise_paddy_AYP_2023_24; earas_report_2022_23:district_tables; earas_report_2023_24:district_tables; earas_report_2024_25:table_1.1; price_stats_2020_pdf,461,OD24,district,NAYAGARH,Nayagarh
Nowaragpur,1,earas_2023_24:blockwise_LUS_2023_24,132,OD23,district,NOWARAGPUR,Nabarangpur
Nowarangpur,5,earas_2022_23:blockwise_paddy_AYP_2022-23; earas_2023_24:blockwise_paddy_AYP_2023_24; earas_report_2022_23:district_tables; earas_report_2023_24:district_tables; earas_report_2024_25:table_1.1,112,OD23,district,NOWARANGPUR,Nabarangpur
Nowrangapur,2,earas_report_2022_23:district_tables; earas_report_2023_24:district_tables,16,OD23,district,NOWRANGAPUR,Nabarangpur
Nuapada,20,OES_2026:Table 3.13; OES_2026:Table 3.2; OES_2026:Table 3.20; OES_2026:Table 3.4; OES_2026:Table 3.6; OES_2026:Table 5. 8; OES_2026:Table 6.2; OES_2026:Table 6.7; OES_2026:Table 9.5; district_at_a_glance_2026; earas_2022_23:blockwise_paddy_AYP_2022-23; earas_2023_24:blockwise_LUS_2023_24; earas_2023_24:blockwise_paddy_AYP_2023_24; earas_2023_24:dist_paddy_AYP_2023-24; earas_2023_24:distwise_minor_crop_AYP_2023-24; earas_report_2022_23:district_tables; earas_report_2023_24:district_tables; earas_report_2024_25:table_1.1; earas_report_2024_25:tables_5.x; price_stats_2020_pdf,479,OD25,district,NUAPADA,Nuapada
Nuapara,3,earas_report_2022_23:district_tables; earas_report_2023_24:district_tables; price_stats_2020_pdf,166,OD25,district,NUAPARA,Nuapada
