reference_year,crop,product,season,measure,unit,raw_value,value,cell_status,source_report,report_year,table_no,pdf_page
2014-15,Groundnut,groundnut,Winter,production,qtl,19357,19357,ok,..\raw\earas\2023-24\Technical_Report_on_EARAS_2023-24_Odisha.pdf,2023-24,20.9,142
2014-15,Groundnut,groundnut,Summer,production,qtl,388399,388399,ok,..\raw\earas\2023-24\Technical_Report_on_EARAS_2023-24_Odisha.pdf,2023-24,20.9,142
2014-15,Groundnut,groundnut,Total,production,qtl,619533,619533,ok,..\raw\earas\2023-24\Technical_Report_on_EARAS_2023-24_Odisha.pdf,2023-24,20.9,142
2015-16,Groundnut,groundnut,Autumn,area,ha,16983,16983,ok,..\raw\earas\2023-24\Technical_Report_on_EARAS_2023-24_Odisha.pdf,2023-24,20.9,142
2015-16,Groundnut,groundnut,Winter,area,ha,1404,1404,ok,..\raw\earas\2023-24\Technical_Report_on_EARAS_2023-24_Odisha.pdf,2023-24,20.9,142
2015-16,Groundnut,groundnut,Summer,area,ha,32819,32819,ok,..\raw\earas\2023-24\Technical_Report_on_EARAS_2023-24_Odisha.pdf,2023-24,20.9,142
2015-16,Groundnut,groundnut,Total,area,ha,51206,51206,ok,..\raw\earas\2023-24\Technical_Report_on_EARAS_2023-24_Odisha.pdf,2023-24,20.9,142
2015-16,Groundnut,groundnut,Autumn,yield_rate,qtl/ha,8.00,8.00,ok,..\raw\earas\2023-24\Technical_Report_on_EARAS_2023-24_Odisha.pdf,2023-24,20.9,142
2015-16,Groundnut,groundnut,Winter,yield_rate,qtl/ha,12.90,12.90,ok,..\raw\earas\2023-24\Technical_Report_on_EARAS_2023-24_Odisha.pdf,2023-24,20.9,142
2015-16,Groundnut,groundnut,Summer,yield_rate,qtl/ha,12.42,12.42,ok,..\raw\earas\2023-24\Technical_Report_on_EARAS_2023-24_Odisha.pdf,2023-24,20.9,142
2015-16,Groundnut,groundnut,Total,yield_rate,qtl/ha,10.97,10.97,ok,..\raw\earas\2023-24\Technical_Report_on_EARAS_2023-24_Odisha.pdf,2023-24,20.9,142
2015-16,Groundnut,groundnut,Autumn,production,qtl,135935,135935,ok,..\raw\earas\2023-24\Technical_Report_on_EARAS_2023-24_Odisha.pdf,2023-24,20.9,142
2015-16,Groundnut,groundnut,Winter,production,qtl,18110,18110,ok,..\raw\earas\2023-24\Technical_Report_on_EARAS_2023-24_Odisha.pdf,2023-24,20.9,142
2015-16,Groundnut,groundnut,Summer,production,qtl,407567,407567,ok,..\raw\earas\2023-24\Technical_Report_on_EARAS_2023-24_Odisha.pdf,2023-24,20.9,142
2015-16,Groundnut,groundnut,Total,production,qtl,561612,561612,ok,..\raw\earas\2023-24\Technical_Report_on_EARAS_2023-24_Odisha.pdf,2023-24,20.9,142
2016-17,Groundnut,groundnut,Autumn,area,ha,21190,21190,ok,..\raw\earas\2023-24\Technical_Report_on_EARAS_2023-24_Odisha.pdf,2023-24,20.9,142
