reference_year,source_report,pdf_page,table_no,sl_no,district_as_published,is_state_total,land_use_category,measure,unit,raw_value,value,cell_status
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,5,Bhadrak,0,Old fallows,pct_of_area_under_survey,%,5.02,5.02,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,5,Bhadrak,0,Current fallows,area,'000 ha,12,12,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,5,Bhadrak,0,Current fallows,pct_of_area_under_survey,%,5.02,5.02,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,5,Bhadrak,0,Net area sown,area,'000 ha,137,137,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,5,Bhadrak,0,Net area sown,pct_of_area_under_survey,%,57.32,57.32,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,5,Bhadrak,0,Total area under survey,area,'000 ha,239,239,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,5,Bhadrak,0,Total area under survey,pct_of_geographical_area,%,89.18,89.18,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,5,Bhadrak,0,Area not included under survey,area,'000 ha,29,29,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,5,Bhadrak,0,Geographical area,area,'000 ha,268,268,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,6,Boudh,0,Forest,area,'000 ha,31,31,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,6,Boudh,0,Forest,pct_of_area_under_survey,%,15.35,15.35,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,6,Boudh,0,Land put to non-agricultural uses,area,'000 ha,29,29,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,6,Boudh,0,Land put to non-agricultural uses,pct_of_area_under_survey,%,14.36,14.36,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,6,Boudh,0,Barren and un-cultivable land,area,'000 ha,12,12,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,6,Boudh,0,Barren and un-cultivable land,pct_of_area_under_survey,%,5.94,5.94,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,6,Boudh,0,Permanent pastures and other grazing land,area,'000 ha,18,18,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,6,Boudh,0,Permanent pastures and other grazing land,pct_of_area_under_survey,%,8.91,8.91,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,6,Boudh,0,Land under misc. tree crops & groves not included in net area sown,area,'000 ha,S,,below_half_unit
