reference_year,source_report,pdf_page,table_no,crop_table,product,sl_no,district_as_published,is_state_total,season,measure,unit,raw_value,value,cell_status
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,74,5.1,Paddy,paddy,5,Bhadrak,0,Summer,yield_rate,qtl/ha,43.64,43.64,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,74,5.1,Paddy,rice,5,Bhadrak,0,Summer,yield_rate,qtl/ha,28.80,28.80,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,74,5.1,Paddy,paddy,5,Bhadrak,0,Summer,production,'000 MT,11.40,11.40,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,74,5.1,Paddy,rice,5,Bhadrak,0,Summer,production,'000 MT,7.53,7.53,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,74,5.1,Paddy,paddy,5,Bhadrak,0,Total,area,'000 ha,138.81,138.81,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,74,5.1,Paddy,paddy,5,Bhadrak,0,Total,yield_rate,qtl/ha,34.63,34.63,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,74,5.1,Paddy,rice,5,Bhadrak,0,Total,yield_rate,qtl/ha,22.85,22.85,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,74,5.1,Paddy,paddy,5,Bhadrak,0,Total,production,'000 MT,480.68,480.68,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,74,5.1,Paddy,rice,5,Bhadrak,0,Total,production,'000 MT,317.25,317.25,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,74,5.1,Paddy,paddy,6,Boudh,0,Autumn,area,'000 ha,2.00,2.00,ok
